Group,SampleID,richness,Depth,ROV,Core.type,Day,Habitat,Sampling,Samples,Samples.1,Samples.2,SampleIDnew,ROVDepth,Methane,Phosphate,Sulfide,Sulfate,Ammonium,d15N,d13CV,DIC,C13Methane,meanrichness
16S,D515ROV1LPC.0,815.2734869438095,0,ROV1,LPC,D515,mussel,porewater,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D522ROV1PC202.0,2620.376058369298,0,ROV1,PC,D522,sea_anemone,fridge,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D522ROV1PC205.0,1317.3094237000064,0,ROV1,PC,D522,thintubeworm,incubation,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D522ROV1PC201.0,1964.262590869071,0,ROV1,PC,D522,sea_anemone,porewater,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D522ROV1PC203.0,1629.058767962311,0,ROV1,PC,D522,thintubeworm_mat,porewater,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D522ROV1LPC1.0,1095.9109317183247,0,ROV1,LPC,D522,thintubeworm,porewater,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D522ROV1LPC2.0,817.3078304130449,0,ROV1,LPC,D522,thintubeworm,porewater,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D515ROV1PC201.0,1471.4875567221106,0,ROV1,PC,D515,mussel,porewater,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D522ROV1PC204.0,1539.838190372985,0,ROV1,PC,D522,thintubeworm,fridge,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D519ROV2PC201.0,1377.9439013281694,0,ROV2,PC,D519,mussel,porewater,517ROV02PC203-0, ROVO2-LPC2-30 ,517ROV02LPC2-40,D517ROV2PC2030,ROV20,6071.7,0.294,0.28,2568,32.4,68.9,-35.03,10.8,-69.54,965.1439025366802
16S,D517ROV2LPC2.0,1054.1685817971852,0,ROV2,LPC,D517,mussel,porewater,517ROV02PC203-0, ROVO2-LPC2-30 ,517ROV02LPC2-40,D517ROV2PC2030,ROV20,6071.7,0.294,0.28,2568,32.4,68.9,-35.03,10.8,-69.54,965.1439025366802
16S,D523ROV2LPC2.0,1877.5199257052968,0,ROV2,LPC,D523,mussel,fridge,517ROV02PC203-0, ROVO2-LPC2-30 ,517ROV02LPC2-40,D517ROV2PC2030,ROV20,6071.7,0.294,0.28,2568,32.4,68.9,-35.03,10.8,-69.54,965.1439025366802
16S,D517ROV2LPC1.0,1112.8590488480556,0,ROV2,LPC,D517,mussel,porewater,517ROV02PC203-0, ROVO2-LPC2-30 ,517ROV02LPC2-40,D517ROV2PC2030,ROV20,6071.7,0.294,0.28,2568,32.4,68.9,-35.03,10.8,-69.54,965.1439025366802
16S,D517ROV2PC203.0,1146.3170546044537,0,ROV2,PC,D517,tubeworm,porewater,517ROV02PC203-0, ROVO2-LPC2-30 ,517ROV02LPC2-40,D517ROV2PC2030,ROV20,6071.7,0.294,0.28,2568,32.4,68.9,-35.03,10.8,-69.54,965.1439025366802
16S,D517ROV2PC201.0,1019.7355025895992,0,ROV2,PC,D517,mussel,porewater,517ROV02PC203-0, ROVO2-LPC2-30 ,517ROV02LPC2-40,D517ROV2PC2030,ROV20,6071.7,0.294,0.28,2568,32.4,68.9,-35.03,10.8,-69.54,965.1439025366802
16S,D523ROV2LPC3.0,2070.067173974799,0,ROV2,LPC,D523,mussel,fridge,517ROV02PC203-0, ROVO2-LPC2-30 ,517ROV02LPC2-40,D517ROV2PC2030,ROV20,6071.7,0.294,0.28,2568,32.4,68.9,-35.03,10.8,-69.54,965.1439025366802
16S,D517ROV2PC202.0,1308.4284399569465,0,ROV2,PC,D517,tubeworm,porewater,517ROV02PC203-0, ROVO2-LPC2-30 ,517ROV02LPC2-40,D517ROV2PC2030,ROV20,6071.7,0.294,0.28,2568,32.4,68.9,-35.03,10.8,-69.54,965.1439025366802
16S,D523ROV2LPC1.0,1862.0001774793027,0,ROV2,LPC,D523,mussel,fridge,517ROV02PC203-0, ROVO2-LPC2-30 ,517ROV02LPC2-40,D517ROV2PC2030,ROV20,6071.7,0.294,0.28,2568,32.4,68.9,-35.03,10.8,-69.54,965.1439025366802
16S,D519ROV3PC201.0,1366.7011616446277,0,ROV3,PC,D519,clam_mat,porewater,519ROV03-2PC201-0,,,D519ROV32PC2010,ROV30,4344.533333333334,0.319,3.67,2417,28.2,NA,NA,NA,NA,1438.7595334953053
16S,D519ROV3LPC1.0,1736.8714001985138,0,ROV3,LPC,D519,clam,porewater,519ROV03-2PC201-0,,,D519ROV32PC2010,ROV30,4344.533333333334,0.319,3.67,2417,28.2,NA,NA,NA,NA,1438.7595334953053
16S,D518ROV3LPC.0,329.9385999841889,0,ROV3,LPC,D518,clam,porewater,519ROV03-2PC201-0,,,D519ROV32PC2010,ROV30,4344.533333333334,0.319,3.67,2417,28.2,NA,NA,NA,NA,1438.7595334953053
16S,D519ROV3PC205.0,1589.0264723009532,0,ROV3,PC,D519,clam,porewater,519ROV03-2PC201-0,,,D519ROV32PC2010,ROV30,4344.533333333334,0.319,3.67,2417,28.2,NA,NA,NA,NA,1438.7595334953053
16S,D519ROV3PC204.0,1171.5854198400439,0,ROV3,PC,D519,clam,porewater,519ROV03-2PC201-0,,,D519ROV32PC2010,ROV30,4344.533333333334,0.319,3.67,2417,28.2,NA,NA,NA,NA,1438.7595334953053
16S,D518ROV3PC202.0,1082.348689927721,0,ROV3,PC,D518,clam,porewater,519ROV03-2PC201-0,,,D519ROV32PC2010,ROV30,4344.533333333334,0.319,3.67,2417,28.2,NA,NA,NA,NA,1438.7595334953053
16S,D519ROV3PC202.0,1327.1036222207542,0,ROV3,PC,D519,clam_mat,porewater,519ROV03-2PC201-0,,,D519ROV32PC2010,ROV30,4344.533333333334,0.319,3.67,2417,28.2,NA,NA,NA,NA,1438.7595334953053
16S,D518ROV3PC201.0,1410.0161568669498,0,ROV3,PC,D518,clam_mat,porewater,519ROV03-2PC201-0,,,D519ROV32PC2010,ROV30,4344.533333333334,0.319,3.67,2417,28.2,NA,NA,NA,NA,1438.7595334953053
16S,D519ROV3LPC2.0,2578.8128716389874,0,ROV3,LPC,D519,clam,porewater,519ROV03-2PC201-0,,,D519ROV32PC2010,ROV30,4344.533333333334,0.319,3.67,2417,28.2,NA,NA,NA,NA,1438.7595334953053
16S,D519ROV3PC203.0,1117.2166463331907,0,ROV3,PC,D519,clam,porewater,519ROV03-2PC201-0,,,D519ROV32PC2010,ROV30,4344.533333333334,0.319,3.67,2417,28.2,NA,NA,NA,NA,1438.7595334953053
16S,D517ROV5PC201.0,729.4928044576261,0,ROV5,PC,D517,control,fridge,517ROV05LPC-0,,,D517ROV5LPC0,ROV50,2361.8,0.192,0.06,2606,23.1,NA,NA,NA,NA,745.5619365297376
16S,D517ROV5LPC.0,1090.3180460952256,0,ROV5,LPC,D517,control,porewater,517ROV05LPC-0,,,D517ROV5LPC0,ROV50,2361.8,0.192,0.06,2606,23.1,NA,NA,NA,NA,745.5619365297376
16S,D522ROV1PC205.10,916.3598818113459,10,ROV1,PC,D522,thintubeworm,incubation,515ROV01LPC-10, ROVO1-LPC-10 ,515ROV01LPC-15,D515ROV1LPC10,ROV110,104699.03333333334,0.48233333333333334,146.475,315.3,27.6,1.3,-30.22,23.16,-77.39,1160.8972117091844
16S,D522ROV1PC203.10,1838.8071811677305,10,ROV1,PC,D522,thintubeworm_mat,porewater,515ROV01LPC-10, ROVO1-LPC-10 ,515ROV01LPC-15,D515ROV1LPC10,ROV110,104699.03333333334,0.48233333333333334,146.475,315.3,27.6,1.3,-30.22,23.16,-77.39,1160.8972117091844
16S,D522ROV1LPC2.10,1226.235029521792,10,ROV1,LPC,D522,thintubeworm,porewater,515ROV01LPC-10, ROVO1-LPC-10 ,515ROV01LPC-15,D515ROV1LPC10,ROV110,104699.03333333334,0.48233333333333334,146.475,315.3,27.6,1.3,-30.22,23.16,-77.39,1160.8972117091844
16S,D515ROV1PC201.10,867.0024309789934,10,ROV1,PC,D515,mussel,porewater,515ROV01LPC-10, ROVO1-LPC-10 ,515ROV01LPC-15,D515ROV1LPC10,ROV110,104699.03333333334,0.48233333333333334,146.475,315.3,27.6,1.3,-30.22,23.16,-77.39,1160.8972117091844
16S,D522ROV1PC202.10,2331.7703400349515,10,ROV1,PC,D522,sea_anemone,fridge,515ROV01LPC-10, ROVO1-LPC-10 ,515ROV01LPC-15,D515ROV1LPC10,ROV110,104699.03333333334,0.48233333333333334,146.475,315.3,27.6,1.3,-30.22,23.16,-77.39,1160.8972117091844
16S,D522ROV1PC204.10,1281.5578209271061,10,ROV1,PC,D522,thintubeworm,fridge,515ROV01LPC-10, ROVO1-LPC-10 ,515ROV01LPC-15,D515ROV1LPC10,ROV110,104699.03333333334,0.48233333333333334,146.475,315.3,27.6,1.3,-30.22,23.16,-77.39,1160.8972117091844
16S,D522ROV1PC201.10,1709.9055942237503,10,ROV1,PC,D522,sea_anemone,porewater,515ROV01LPC-10, ROVO1-LPC-10 ,515ROV01LPC-15,D515ROV1LPC10,ROV110,104699.03333333334,0.48233333333333334,146.475,315.3,27.6,1.3,-30.22,23.16,-77.39,1160.8972117091844
16S,D522ROV1LPC1.10,541.5060999604433,10,ROV1,LPC,D522,thintubeworm,porewater,515ROV01LPC-10, ROVO1-LPC-10 ,515ROV01LPC-15,D515ROV1LPC10,ROV110,104699.03333333334,0.48233333333333334,146.475,315.3,27.6,1.3,-30.22,23.16,-77.39,1160.8972117091844
16S,D515ROV1LPC.10,888.4958368314983,10,ROV1,LPC,D515,mussel,porewater,515ROV01LPC-10, ROVO1-LPC-10 ,515ROV01LPC-15,D515ROV1LPC10,ROV110,104699.03333333334,0.48233333333333334,146.475,315.3,27.6,1.3,-30.22,23.16,-77.39,1160.8972117091844
16S,D517ROV2LPC2.10,866.3168810938042,10,ROV2,LPC,D517,mussel,porewater,517ROV02PC203-10,ROV05-LPC-2,517ROV05LPC-2,D517ROV2PC20310,ROV210,11846.2,0.2115,0.034999999999999996,1401,35.7,9.2,-6.3149999999999995,3.495,-77.11,965.1439025366802
16S,D523ROV2LPC2.10,697.1981760535286,10,ROV2,LPC,D523,mussel,fridge,517ROV02PC203-10,ROV05-LPC-2,517ROV05LPC-2,D517ROV2PC20310,ROV210,11846.2,0.2115,0.034999999999999996,1401,35.7,9.2,-6.3149999999999995,3.495,-77.11,965.1439025366802
16S,D517ROV2PC203.10,574.1601282845834,10,ROV2,PC,D517,tubeworm,porewater,517ROV02PC203-10,ROV05-LPC-2,517ROV05LPC-2,D517ROV2PC20310,ROV210,11846.2,0.2115,0.034999999999999996,1401,35.7,9.2,-6.3149999999999995,3.495,-77.11,965.1439025366802
16S,D519ROV2PC201.10,216.69665783399236,10,ROV2,PC,D519,mussel,porewater,517ROV02PC203-10,ROV05-LPC-2,517ROV05LPC-2,D517ROV2PC20310,ROV210,11846.2,0.2115,0.034999999999999996,1401,35.7,9.2,-6.3149999999999995,3.495,-77.11,965.1439025366802
16S,D523ROV2LPC1.10,1494.8215813498068,10,ROV2,LPC,D523,mussel,fridge,517ROV02PC203-10,ROV05-LPC-2,517ROV05LPC-2,D517ROV2PC20310,ROV210,11846.2,0.2115,0.034999999999999996,1401,35.7,9.2,-6.3149999999999995,3.495,-77.11,965.1439025366802
16S,D517ROV2LPC1.10,1060.1426714893244,10,ROV2,LPC,D517,mussel,porewater,517ROV02PC203-10,ROV05-LPC-2,517ROV05LPC-2,D517ROV2PC20310,ROV210,11846.2,0.2115,0.034999999999999996,1401,35.7,9.2,-6.3149999999999995,3.495,-77.11,965.1439025366802
16S,D523ROV2LPC3.10,1125.3902769628132,10,ROV2,LPC,D523,mussel,fridge,517ROV02PC203-10,ROV05-LPC-2,517ROV05LPC-2,D517ROV2PC20310,ROV210,11846.2,0.2115,0.034999999999999996,1401,35.7,9.2,-6.3149999999999995,3.495,-77.11,965.1439025366802
16S,D518ROV3LPC.10,1130.7425998524266,10,ROV3,LPC,D518,clam,porewater,519ROV03-2PC201-10,,,D519ROV32PC20110,ROV310,8596.166666666666,0.3426666666666667,0.25666666666666665,2320.6666666666665,28.833333333333332,NA,NA,NA,NA,1438.7595334953053
16S,D519ROV3PC204.10,1729.8471607458396,10,ROV3,PC,D519,clam,porewater,519ROV03-2PC201-10,,,D519ROV32PC20110,ROV310,8596.166666666666,0.3426666666666667,0.25666666666666665,2320.6666666666665,28.833333333333332,NA,NA,NA,NA,1438.7595334953053
16S,D519ROV3LPC2.10,2682.2004799008664,10,ROV3,LPC,D519,clam,porewater,519ROV03-2PC201-10,,,D519ROV32PC20110,ROV310,8596.166666666666,0.3426666666666667,0.25666666666666665,2320.6666666666665,28.833333333333332,NA,NA,NA,NA,1438.7595334953053
16S,D519ROV3PC205.10,1419.2548439422706,10,ROV3,PC,D519,clam,porewater,519ROV03-2PC201-10,,,D519ROV32PC20110,ROV310,8596.166666666666,0.3426666666666667,0.25666666666666665,2320.6666666666665,28.833333333333332,NA,NA,NA,NA,1438.7595334953053
16S,D518ROV3PC201.10,665.0510379873118,10,ROV3,PC,D518,clam_mat,porewater,519ROV03-2PC201-10,,,D519ROV32PC20110,ROV310,8596.166666666666,0.3426666666666667,0.25666666666666665,2320.6666666666665,28.833333333333332,NA,NA,NA,NA,1438.7595334953053
16S,D519ROV3PC203.10,1273.6253892006237,10,ROV3,PC,D519,clam,porewater,519ROV03-2PC201-10,,,D519ROV32PC20110,ROV310,8596.166666666666,0.3426666666666667,0.25666666666666665,2320.6666666666665,28.833333333333332,NA,NA,NA,NA,1438.7595334953053
16S,D519ROV3PC201.10,1288.6878038071575,10,ROV3,PC,D519,clam_mat,porewater,519ROV03-2PC201-10,,,D519ROV32PC20110,ROV310,8596.166666666666,0.3426666666666667,0.25666666666666665,2320.6666666666665,28.833333333333332,NA,NA,NA,NA,1438.7595334953053
16S,D519ROV3LPC1.10,1670.3752318317866,10,ROV3,LPC,D519,clam,porewater,519ROV03-2PC201-10,,,D519ROV32PC20110,ROV310,8596.166666666666,0.3426666666666667,0.25666666666666665,2320.6666666666665,28.833333333333332,NA,NA,NA,NA,1438.7595334953053
16S,D517ROV5PC201.10,1548,10,ROV5,PC,D517,control,fridge,517ROV05LPC-10,,,D517ROV5LPC10,ROV510,2287.9,0.386,0.05,2568,24.1,NA,NA,NA,NA,745.5619365297376
16S,D517ROV5LPC.10,681.3665643104683,10,ROV5,LPC,D517,control,porewater,517ROV05LPC-10,,,D517ROV5LPC10,ROV510,2287.9,0.386,0.05,2568,24.1,NA,NA,NA,NA,745.5619365297376
16S,D522ROV1LPC2.15,747.446628597992,15,ROV1,LPC,D522,thintubeworm,porewater,515ROV01LPC-15, ROVO1-LPC-15 ,515ROV01LPC-20,D515ROV1LPC15,ROV115,104617.86666666667,0.30633333333333335,190.14000000000001,128.33333333333334,26.966666666666665,2.8,-28.06,24.88,-70.25,1160.8972117091844
16S,D522ROV1PC202.15,2010.5397427167104,15,ROV1,PC,D522,sea_anemone,fridge,515ROV01LPC-15, ROVO1-LPC-15 ,515ROV01LPC-20,D515ROV1LPC15,ROV115,104617.86666666667,0.30633333333333335,190.14000000000001,128.33333333333334,26.966666666666665,2.8,-28.06,24.88,-70.25,1160.8972117091844
16S,D522ROV1PC203.15,1317.7124584212709,15,ROV1,PC,D522,thintubeworm_mat,porewater,515ROV01LPC-15, ROVO1-LPC-15 ,515ROV01LPC-20,D515ROV1LPC15,ROV115,104617.86666666667,0.30633333333333335,190.14000000000001,128.33333333333334,26.966666666666665,2.8,-28.06,24.88,-70.25,1160.8972117091844
16S,D522ROV1PC204.15,1677.9691358149223,15,ROV1,PC,D522,thintubeworm,fridge,515ROV01LPC-15, ROVO1-LPC-15 ,515ROV01LPC-20,D515ROV1LPC15,ROV115,104617.86666666667,0.30633333333333335,190.14000000000001,128.33333333333334,26.966666666666665,2.8,-28.06,24.88,-70.25,1160.8972117091844
16S,D515ROV1LPC.15,403.9996290535074,15,ROV1,LPC,D515,mussel,porewater,515ROV01LPC-15, ROVO1-LPC-15 ,515ROV01LPC-20,D515ROV1LPC15,ROV115,104617.86666666667,0.30633333333333335,190.14000000000001,128.33333333333334,26.966666666666665,2.8,-28.06,24.88,-70.25,1160.8972117091844
16S,D522ROV1PC201.15,1908.176628477867,15,ROV1,PC,D522,sea_anemone,porewater,515ROV01LPC-15, ROVO1-LPC-15 ,515ROV01LPC-20,D515ROV1LPC15,ROV115,104617.86666666667,0.30633333333333335,190.14000000000001,128.33333333333334,26.966666666666665,2.8,-28.06,24.88,-70.25,1160.8972117091844
16S,D522ROV1LPC1.15,504.4310069607452,15,ROV1,LPC,D522,thintubeworm,porewater,515ROV01LPC-15, ROVO1-LPC-15 ,515ROV01LPC-20,D515ROV1LPC15,ROV115,104617.86666666667,0.30633333333333335,190.14000000000001,128.33333333333334,26.966666666666665,2.8,-28.06,24.88,-70.25,1160.8972117091844
16S,D515ROV1PC201.15,669.3914503049789,15,ROV1,PC,D515,mussel,porewater,515ROV01LPC-15, ROVO1-LPC-15 ,515ROV01LPC-20,D515ROV1LPC15,ROV115,104617.86666666667,0.30633333333333335,190.14000000000001,128.33333333333334,26.966666666666665,2.8,-28.06,24.88,-70.25,1160.8972117091844
16S,D522ROV1PC205.15,415.1376944297116,15,ROV1,PC,D522,thintubeworm,incubation,515ROV01LPC-15, ROVO1-LPC-15 ,515ROV01LPC-20,D515ROV1LPC15,ROV115,104617.86666666667,0.30633333333333335,190.14000000000001,128.33333333333334,26.966666666666665,2.8,-28.06,24.88,-70.25,1160.8972117091844
16S,D523ROV2LPC3.15,889.1913658752578,15,ROV2,LPC,D523,mussel,fridge,517ROV02PC203-15,ROV05-LPC-4,517ROV05LPC-4,D517ROV2PC20315,ROV215,131458.3,0.267,161.61,157,35.8,2.85,-6.68,3.27,-77.285,965.1439025366802
16S,D523ROV2LPC2.15,998.533606195797,15,ROV2,LPC,D523,mussel,fridge,517ROV02PC203-15,ROV05-LPC-4,517ROV05LPC-4,D517ROV2PC20315,ROV215,131458.3,0.267,161.61,157,35.8,2.85,-6.68,3.27,-77.285,965.1439025366802
16S,D517ROV2LPC1.15,869.6461713849097,15,ROV2,LPC,D517,mussel,porewater,517ROV02PC203-15,ROV05-LPC-4,517ROV05LPC-4,D517ROV2PC20315,ROV215,131458.3,0.267,161.61,157,35.8,2.85,-6.68,3.27,-77.285,965.1439025366802
16S,D523ROV2LPC1.15,885.9941401827903,15,ROV2,LPC,D523,mussel,fridge,517ROV02PC203-15,ROV05-LPC-4,517ROV05LPC-4,D517ROV2PC20315,ROV215,131458.3,0.267,161.61,157,35.8,2.85,-6.68,3.27,-77.285,965.1439025366802
16S,D517ROV2PC203.15,796.3999967691151,15,ROV2,PC,D517,tubeworm,porewater,517ROV02PC203-15,ROV05-LPC-4,517ROV05LPC-4,D517ROV2PC20315,ROV215,131458.3,0.267,161.61,157,35.8,2.85,-6.68,3.27,-77.285,965.1439025366802
